-1  -0.22013
-0.95  -0.201292
-0.9  -0.183073
-0.85  -0.165499
-0.8  -0.148599
-0.75  -0.132402
-0.7  -0.116938
-0.65  -0.102241
-0.6  -0.0883468
-0.55  -0.0752918
-0.5  -0.0631157
-0.45  -0.0518602
-0.4  -0.0415693
-0.35  -0.0322892
-0.3  -0.0240687
-0.25  -0.0169586
-0.2  -0.0110122
-0.15  -0.00628488
-0.1  -0.002834
-0.05  -0.000718788
3.19189e-16  0
0.05  -0.000739614
0.1  -0.00300043
0.15  -0.00684562
0.2  -0.0123381
0.25  -0.0195402
0.3  -0.0285124
0.35  -0.0393134
0.4  -0.0519987
0.45  -0.0666203
0.5  -0.0832257
0.55  -0.101857
0.6  -0.122551
0.65  -0.145338
0.7  -0.17024
0.75  -0.197274
0.8  -0.226448
0.85  -0.257763
0.9  -0.291212
0.95  -0.326782
